Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Roos van der Donk,43,745,Enschede 2025-06-01 - Place: 3 Points: 744.8,,
Omar el Tambouli,44,733,NK 2024-06-29 - Place: 2 Points: 733.32,,
Tim Teunis,45,728,Almere 2025-09-13 - Place: 3 Points: 728.0,,
Simmeon Gastineau,46,721,GroningenIndoor 2025-01-19 - Place: 1 Points: 721.0,,
Marjolein Veldman,47,715,Amsterdam 2024-06-01 - Place: 8 Points: 470.4,NK 2024-06-29 - Place: 15 Points: 244.44,
Carien Boessenkool,48,712,UtrechtIndoor 2025-03-15 - Place: 2 Points: 711.9,,
Bouke Postma,49,700,Amsterdam 2025-06-14 - Place: 1 Points: 700.0,,
Jurriën van Marle,50,692,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 691.6,,
Sergio Vianen,51,692,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 691.6,,
Lech bakhuizen v.d. Brink,52,678,Amsterdam 2025-06-14 - Place: 4 Points: 490.0,Amsterdam 2024-06-01 - Place: 20 Points: 188.16,
Tom Caniels,53,654,NK 2024-06-29 - Place: 4 Points: 570.36,NK 2023-09-02 - Place: 16 Points: 84.0,
Floris van Lieshout,54,652,Enschede 2025-06-01 - Place: 4 Points: 651.7,,
Lorenz Theobald,55,649,GroningenIndoor 2025-01-19 - Place: 2 Points: 648.9,,
Max van der Heijden,56,645,Enschede 2025-06-01 - Place: 9 Points: 372.4,Almere 2025-09-13 - Place: 15 Points: 273.0,
Gijs Cornielje,57,645,Enschede 2025-06-01 - Place: 9 Points: 372.4,Almere 2025-09-13 - Place: 15 Points: 273.0,
Gijs Kamperman,58,637,Almere 2025-09-13 - Place: 4 Points: 637.0,,
Wouter van der Heijden,59,637,Almere 2025-09-13 - Place: 4 Points: 637.0,,
Jacob Franssen,60,633,Groningen 2025-05-03 - Place: 2 Points: 633.15,,
Linde Karnebeek,61,633,Groningen 2025-05-03 - Place: 2 Points: 633.15,,
David Vermeulen,62,633,UtrechtIndoor 2025-03-15 - Place: 3 Points: 632.8,,
Sven Ebels,63,633,UtrechtIndoor 2025-03-15 - Place: 3 Points: 632.8,,
Job Bahlmann,64,630,Amsterdam 2025-06-14 - Place: 2 Points: 630.0,,
Maud Wieland,65,620,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 432.25,Amsterdam 2024-06-01 - Place: 20 Points: 188.16,
Beleke de Zwart,66,605,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 605.15,,
Sjef Holl,67,595,Almere 2025-09-13 - Place: 7 Points: 455.0,NK 2023-09-02 - Place: 7 Points: 140.0,
Boris Vermeulen,68,577,GroningenIndoor 2025-01-19 - Place: 3 Points: 576.8,,
Lukas Schubotz,69,575,NK 2024-06-29 - Place: 7 Points: 407.4,NK 2023-09-02 - Place: 6 Points: 168.0,
Thijs Benschop,70,575,NK 2024-06-29 - Place: 7 Points: 407.4,NK 2023-09-02 - Place: 6 Points: 168.0,
Konstantin Dimov,71,564,Amsterdam 2024-06-01 - Place: 5 Points: 564.48,,
Sven Gerritsen,72,564,Amsterdam 2024-06-01 - Place: 5 Points: 564.48,,
Knut Satrang,73,563,Groningen 2025-05-03 - Place: 3 Points: 562.8,,
Mees Middelkoop,74,560,Amsterdam 2025-06-14 - Place: 3 Points: 560.0,,
Derek van de Wiel,75,559,Enschede 2025-06-01 - Place: 5 Points: 558.6,,
Sanne van de Ven,76,559,Enschede 2025-06-01 - Place: 5 Points: 558.6,,
Pucki Obermuller,77,554,UtrechtIndoor 2025-03-15 - Place: 4 Points: 553.7,,
Sam te Dorsthorst,78,546,Almere 2025-09-13 - Place: 5 Points: 546.0,,
Timo te Dorsthorst,79,546,Almere 2025-09-13 - Place: 5 Points: 546.0,,
David van der Borden,80,546,Almere 2025-09-13 - Place: 6 Points: 546.0,,
Jonathan Trommel,81,546,Almere 2025-09-13 - Place: 6 Points: 546.0,,
Dana Voerman,82,519,AmsterdamIndoor 2025-02-23 - Place: 6 Points: 518.7,,
Andreas Hobermuller,83,492,Groningen 2025-05-03 - Place: 4 Points: 492.45,,
Anna Stoffie,84,492,Groningen 2025-05-03 - Place: 4 Points: 492.45,,
Fabian van Hummel,85,489,NK 2024-06-29 - Place: 5 Points: 488.88,,
Luke Wright,86,489,NK 2024-06-29 - Place: 6 Points: 488.88,,
Gosse Metz,87,475,UtrechtIndoor 2025-03-15 - Place: 6 Points: 474.6,,
Haiko Rijkers,88,470,Amsterdam 2024-06-01 - Place: 8 Points: 470.4,,
Bram Houweling,89,466,NK 2024-06-29 - Place: 11 Points: 325.92,NK 2023-09-02 - Place: 7 Points: 140.0,
Joëlla van de Ven,90,466,Enschede 2025-06-01 - Place: 7 Points: 465.5,,
Roeland Wouda,91,466,Enschede 2025-06-01 - Place: 7 Points: 465.5,,
Pim Jansen,92,466,Enschede 2025-06-01 - Place: 8 Points: 465.5,,
Miguel Dionisio,93,466,Enschede 2025-06-01 - Place: 8 Points: 465.5,,
Mohammad Saeidi,94,455,Almere 2025-09-13 - Place: 7 Points: 455.0,,
Steven Biemans,95,455,Almere 2025-09-13 - Place: 8 Points: 455.0,,
Yvette Weel,96,432,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 432.25,,
Wik de Waal,97,426,NK 2024-06-29 - Place: 16 Points: 244.44,Almere 2025-09-13 - Place: 17 Points: 182.0,
Lavinia Damaschin,98,422,Groningen 2025-05-03 - Place: 5 Points: 422.1,,
Elliot maric Larsson,99,422,Groningen 2025-05-03 - Place: 6 Points: 422.1,,
Katalin Harsanyi,100,422,Groningen 2025-05-03 - Place: 6 Points: 422.1,,
Nick E,101,395,UtrechtIndoor 2025-03-15 - Place: 7 Points: 395.5,,
Melanie Haeusel,102,376,Amsterdam 2024-06-01 - Place: 10 Points: 376.32,,
Thibaut Weller,103,376,Amsterdam 2024-06-01 - Place: 10 Points: 376.32,,
Luuk vd Klein,104,376,Amsterdam 2024-06-01 - Place: 11 Points: 376.32,,
Raphaël Wiedmer,105,376,Amsterdam 2024-06-01 - Place: 12 Points: 376.32,,
Rebecca Fagerland,106,376,Amsterdam 2024-06-01 - Place: 12 Points: 376.32,,
Roel ten Broek,107,372,Enschede 2025-06-01 - Place: 10 Points: 372.4,,
Teun Wassenberg,108,372,Enschede 2025-06-01 - Place: 10 Points: 372.4,,
Roel Schoorlemmer,109,372,Enschede 2025-06-01 - Place: 11 Points: 372.4,,
Jesse Vlaswinkel,110,372,Enschede 2025-06-01 - Place: 11 Points: 372.4,,
Menno Bok,111,364,Almere 2025-09-13 - Place: 9 Points: 364.0,,
Ivan Erkelens,112,364,Almere 2025-09-13 - Place: 11 Points: 364.0,,
Niels Erkelens,113,364,Almere 2025-09-13 - Place: 11 Points: 364.0,,
Ieke Berens,114,356,NK 2024-06-29 - Place: 14 Points: 244.44,NK 2023-09-02 - Place: 11 Points: 112.0,
Thieri Balk,115,356,NK 2024-06-29 - Place: 14 Points: 244.44,NK 2023-09-02 - Place: 11 Points: 112.0,
Gijs van Gerwen,116,352,Enschede 2023-11-26 - Place: 5 Points: 268.38,NK 2023-09-02 - Place: 16 Points: 84.0,
Silver Roossien,117,352,Groningen 2025-05-03 - Place: 7 Points: 351.75,,
Julian de Rover,118,352,Groningen 2025-05-03 - Place: 7 Points: 351.75,,
Lex Dijkman,119,352,Groningen 2025-05-03 - Place: 8 Points: 351.75,,
F. Almeida,120,352,Groningen 2025-05-03 - Place: 8 Points: 351.75,,
Hugo Degerth,121,345,Almere 2025-09-13 - Place: 17 Points: 182.0,NK 2024-06-29 - Place: 20 Points: 162.96,
Milan Klaasman,122,326,NK 2024-06-29 - Place: 9 Points: 325.92,,
Remco Klaasman,123,326,NK 2024-06-29 - Place: 9 Points: 325.92,,
Adam Drong,124,326,NK 2024-06-29 - Place: 10 Points: 325.92,,
Stan an der Enden,125,326,NK 2024-06-29 - Place: 10 Points: 325.92,,
M Saeidi,126,326,NK 2024-06-29 - Place: 11 Points: 325.92,,
P Muller,127,326,NK 2024-06-29 - Place: 12 Points: 325.92,,
Luuk Geelen,128,313,Enschede 2023-11-26 - Place: 4 Points: 313.11,,
Peter Vree,129,313,Enschede 2023-11-26 - Place: 4 Points: 313.11,,
Lars Jürgensen,130,282,Amsterdam 2024-06-01 - Place: 13 Points: 282.24,,
Jess Moore,131,282,Amsterdam 2024-06-01 - Place: 13 Points: 282.24,,
Jasper Voerman,132,282,Amsterdam 2024-06-01 - Place: 14 Points: 282.24,,
Sanne Hogesteeger,133,282,Amsterdam 2024-06-01 - Place: 15 Points: 282.24,,
Tale Lechtenbörger,134,282,Amsterdam 2024-06-01 - Place: 15 Points: 282.24,,
Rémi Bummel,135,282,Amsterdam 2024-06-01 - Place: 16 Points: 282.24,,
Sabien Feitsma,136,281,Groningen 2025-05-03 - Place: 9 Points: 281.4,,
Marieke Bregman,137,281,Groningen 2025-05-03 - Place: 9 Points: 281.4,,
Sander Breman,138,280,NK 2023-09-02 - Place: 1 Points: 280.0,,
David Teel,139,280,NK 2023-09-02 - Place: 1 Points: 280.0,,
Noah Caneel,140,273,Almere 2025-09-13 - Place: 13 Points: 273.0,,
Thijmen Mortier,141,273,Almere 2025-09-13 - Place: 14 Points: 273.0,,
Daan_dibbetz@hotmail.nl Dibbetz,142,273,Almere 2025-09-13 - Place: 14 Points: 273.0,,
Feliks Raap,143,273,Almere 2025-09-13 - Place: 16 Points: 273.0,,
Cas van de Voort,144,273,Almere 2025-09-13 - Place: 16 Points: 273.0,,
Wouter van Tongeren,145,252,NK 2023-09-02 - Place: 2 Points: 252.0,,
Arthur Boerman,146,252,NK 2023-09-02 - Place: 2 Points: 252.0,,
Pepijn van der Put,147,244,NK 2024-06-29 - Place: 13 Points: 244.44,,
Joep de Jonge,148,244,NK 2024-06-29 - Place: 13 Points: 244.44,,
Zachary Meredith,149,244,NK 2024-06-29 - Place: 15 Points: 244.44,,
Enno Biewinga,150,244,NK 2024-06-29 - Place: 16 Points: 244.44,,
Geert douwe de Vries,151,224,NK 2023-09-02 - Place: 3 Points: 224.0,,
Florian Verduijn,152,224,NK 2023-09-02 - Place: 3 Points: 224.0,,
Sarah Sommerschuh,153,224,Enschede 2023-11-26 - Place: 8 Points: 223.65,,
Koen Zonneveld,154,196,NK 2023-09-02 - Place: 4 Points: 196.0,,
Twan Zonneveld,155,196,NK 2023-09-02 - Place: 4 Points: 196.0,,
Nikola Geršanov,156,188,Amsterdam 2024-06-01 - Place: 17 Points: 188.16,,
Mata Njunga,157,188,Amsterdam 2024-06-01 - Place: 18 Points: 188.16,,
Daan Appels,158,188,Amsterdam 2024-06-01 - Place: 18 Points: 188.16,,
Bram Slemmer,159,188,Amsterdam 2024-06-01 - Place: 19 Points: 188.16,,
Jary Kooijman,160,188,Amsterdam 2024-06-01 - Place: 19 Points: 188.16,,
Juho Viljanen,161,188,Amsterdam 2024-06-01 - Place: 21 Points: 188.16,,
Mátyás Papp,162,188,Amsterdam 2024-06-01 - Place: 21 Points: 188.16,,
Michael Wekking,163,188,Amsterdam 2024-06-01 - Place: 22 Points: 188.16,,
Wiebe de Gruijter,164,188,Amsterdam 2024-06-01 - Place: 22 Points: 188.16,,
Arabi Alhumsi,165,188,Amsterdam 2024-06-01 - Place: 23 Points: 188.16,,
Alexis Carras,166,188,Amsterdam 2024-06-01 - Place: 23 Points: 188.16,,
Clemence Joly,167,188,Amsterdam 2024-06-01 - Place: 24 Points: 188.16,,
Marko Krunic,168,188,Amsterdam 2024-06-01 - Place: 24 Points: 188.16,,
Jori Lamboo,169,182,Almere 2025-09-13 - Place: 18 Points: 182.0,,
Max Meijer,170,182,Almere 2025-09-13 - Place: 18 Points: 182.0,,
Jelmer Luijt,171,182,Almere 2025-09-13 - Place: 19 Points: 182.0,,
Chris Schiffer,172,182,Almere 2025-09-13 - Place: 19 Points: 182.0,,
Karlijn Boekhout,173,182,Almere 2025-09-13 - Place: 20 Points: 182.0,,
Sam Doeve,174,182,Almere 2025-09-13 - Place: 20 Points: 182.0,,
Simone Hagen,175,182,Almere 2025-09-13 - Place: 21 Points: 182.0,,
Koen Schultz,176,182,Almere 2025-09-13 - Place: 21 Points: 182.0,,
Marjolijn van Schagen,177,179,Enschede 2023-11-26 - Place: 9 Points: 178.92,,
Michelle Sudjito,178,179,Enschede 2023-11-26 - Place: 9 Points: 178.92,,
Remon Poelman,179,168,NK 2023-09-02 - Place: 5 Points: 168.0,,
Job van Maastricht,180,168,NK 2023-09-02 - Place: 5 Points: 168.0,,
Tijmen van der Put,181,163,NK 2024-06-29 - Place: 17 Points: 162.96,,
Pim de Jonge,182,163,NK 2024-06-29 - Place: 17 Points: 162.96,,
Sebastiaan van Zanten,183,163,NK 2024-06-29 - Place: 18 Points: 162.96,,
Florian Vacek,184,163,NK 2024-06-29 - Place: 18 Points: 162.96,,
Jurd Smith,185,163,NK 2024-06-29 - Place: 19 Points: 162.96,,
Annelies van Cooten,186,163,NK 2024-06-29 - Place: 19 Points: 162.96,,
Daniel Doe,187,163,NK 2024-06-29 - Place: 20 Points: 162.96,,
Niels van de Graaf,188,140,NK 2023-09-02 - Place: 8 Points: 140.0,,
Ivo Wester,189,140,NK 2023-09-02 - Place: 8 Points: 140.0,,
Adnan Jerbi,190,112,NK 2023-09-02 - Place: 9 Points: 112.0,,
Jan albert van der Velde,191,112,NK 2023-09-02 - Place: 10 Points: 112.0,,
Daan Beelen,192,112,NK 2023-09-02 - Place: 10 Points: 112.0,,
Luuk Nugteren,193,112,NK 2023-09-02 - Place: 12 Points: 112.0,,
Tymo Berger,194,84,NK 2023-09-02 - Place: 13 Points: 84.0,,
Roel Teillers,195,84,NK 2023-09-02 - Place: 13 Points: 84.0,,
Ewout Buurma,196,84,NK 2023-09-02 - Place: 14 Points: 84.0,,
Meint-jan Elzinga,197,84,NK 2023-09-02 - Place: 14 Points: 84.0,,
Casper Zomerdijk,198,84,NK 2023-09-02 - Place: 15 Points: 84.0,,
Nicole Ijff,199,84,NK 2023-09-02 - Place: 15 Points: 84.0,,
Magali de Rooy,200,56,NK 2023-09-02 - Place: 17 Points: 56.0,,
Mattis Hennig,201,56,NK 2023-09-02 - Place: 17 Points: 56.0,,
Joep van den Heuvel,202,56,NK 2023-09-02 - Place: 18 Points: 56.0,,
Joost van Vugt,203,56,NK 2023-09-02 - Place: 18 Points: 56.0,,
Huub Capelleveen,204,56,NK 2023-09-02 - Place: 19 Points: 56.0,,
Tom van den Heuvel,205,56,NK 2023-09-02 - Place: 19 Points: 56.0,,
