name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Jarec Schouten,1,4880,2.0,900.0,1.0,1360.0,1.0,1840.0,2.0,1440.0,1.0,1460.0,1.0,1480.0,1.0,1480.0,1.0,1560.0,,,7.0,608.0,3.0,1312.0
Ravi Kandula,2,4754,,,,,1.0,1840.0,1.0,1600.0,2.0,1314.0,,,,,,,,,,,,
Aleksandrs Juška,3,4680,2.0,900.0,,,,,2.0,1440.0,1.0,1460.0,1.0,1480.0,1.0,1480.0,1.0,1560.0,,,,,1.0,1640.0
Stan van Manen,4,4092,8.0,400.0,,,7.0,736.0,3.0,1280.0,3.0,1168.0,,,3.0,1184.0,4.0,1092.0,1.0,1500.0,18.0,228.0,3.0,1312.0
Rudo Brus,5,3924,11.0,300.0,6.0,680.0,6.0,920.0,6.0,800.0,8.0,584.0,10.0,444.0,,,3.0,1248.0,3.0,1200.0,,,2.0,1476.0
Micha Daling,6,3866,15.0,225.0,,,,,8.0,640.0,4.0,1022.0,3.0,1184.0,2.0,1332.0,,,2.0,1350.0,9.0,456.0,,
Dirk van de Riet,6,3866,17.0,150.0,5.0,680.0,10.0,552.0,4.0,1120.0,4.0,1022.0,3.0,1184.0,2.0,1332.0,,,2.0,1350.0,,,,
Jeroen Brus,8,3644,6.0,500.0,,,6.0,920.0,,,,,,,,,3.0,1248.0,,,,,2.0,1476.0
Simon Spengler,9,3488,,,,,,,,,3.0,1168.0,,,,,6.0,780.0,1.0,1500.0,6.0,760.0,5.0,820.0
Patrick de Lange,10,3340,4.0,700.0,1.0,1360.0,9.0,552.0,3.0,1280.0,,,,,,,,,,,,,,
Tim Teunis,11,3286,13.0,225.0,3.0,1088.0,11.0,552.0,5.0,800.0,5.0,730.0,11.0,444.0,4.0,1036.0,5.0,780.0,4.0,1050.0,,,4.0,1148.0
Lauma Ernestsone,12,3230,16.0,225.0,,,20.0,276.0,,,2.0,1314.0,,,,,,,,,,,1.0,1640.0
Stijn Slebos,13,3174,13.0,225.0,3.0,1088.0,15.0,414.0,5.0,800.0,5.0,730.0,11.0,444.0,4.0,1036.0,5.0,780.0,4.0,1050.0,17.0,228.0,8.0,656.0
Thibault Mareschal,14,2960,4.0,700.0,,,9.0,552.0,,,,,6.0,740.0,,,,,,,1.0,1520.0,,
Ward Nieboer,15,2948,9.0,300.0,,,,,,,,,,,,,4.0,1092.0,3.0,1200.0,,,8.0,656.0
Mark de Jong,16,2944,8.0,400.0,,,7.0,736.0,1.0,1600.0,,,,,,,,,,,7.0,608.0,,
Maurice Jantjes,17,2921,14.0,225.0,2.0,1224.0,3.0,1472.0,,,,,,,,,,,,,,,,
Tomer Kedar,18,2634,,,,,18.0,276.0,13.0,360.0,6.0,730.0,9.0,444.0,6.0,740.0,7.0,624.0,5.0,750.0,4.0,1064.0,6.0,820.0
Rens Elbertsen,18,2634,,,,,,,16.0,360.0,6.0,730.0,9.0,444.0,6.0,740.0,7.0,624.0,5.0,750.0,4.0,1064.0,6.0,820.0
Joep Blanksma,20,2568,21.0,150.0,9.0,408.0,11.0,552.0,7.0,640.0,,,,,,,6.0,780.0,,,,,4.0,1148.0
Niels de Jonge,21,2550,,,5.0,680.0,10.0,552.0,4.0,1120.0,,,,,,,10.0,468.0,6.0,750.0,11.0,456.0,,
Yuan Tjiam,22,2452,20.0,150.0,4.0,952.0,16.0,414.0,12.0,480.0,,,12.0,444.0,5.0,740.0,9.0,468.0,,,6.0,760.0,10.0,492.0
Jari Verbeek,23,2260,,,,,12.0,552.0,,,,,,,,,,,,,3.0,1216.0,11.0,492.0
Teo Kukuljan,24,1904,6.0,500.0,,,,,,,,,,,,,2.0,1404.0,,,,,,
Eline Meijer,25,1824,14.0,225.0,8.0,544.0,22.0,276.0,,,,,,,,,8.0,624.0,,,,,7.0,656.0
Nicolas Manneback,26,1712,,,,,16.0,414.0,12.0,480.0,,,12.0,444.0,5.0,740.0,9.0,468.0,,,,,10.0,492.0
Ewout van den Pol,27,1692,,,,,,,7.0,640.0,7.0,584.0,,,,,12.0,468.0,,,,,,
Daniel Peereboom,28,1674,17.0,150.0,10.0,408.0,17.0,276.0,17.0,240.0,,,,,11.0,444.0,10.0,468.0,6.0,750.0,11.0,456.0,,
Tavo Garcia,29,1656,,,,,2.0,1656.0,,,,,,,,,,,,,,,,
Oriol Gonzalez,29,1656,,,,,2.0,1656.0,,,,,,,,,,,,,,,,
Sophie Bouma,31,1644,,,8.0,544.0,22.0,276.0,,,,,,,10.0,444.0,,,13.0,338.0,,,7.0,656.0
Koen Huits,32,1586,12.0,300.0,7.0,544.0,19.0,276.0,14.0,360.0,,,13.0,333.0,8.0,592.0,,,12.0,450.0,,,,
Simen Bootsma,33,1564,,,9.0,408.0,25.0,230.0,10.0,480.0,11.0,438.0,,,7.0,592.0,,,,,15.0,342.0,12.0,492.0
Adnan Jerbi,34,1553,,,,,,,,,,,,,3.0,1184.0,,,,,,,14.0,369.0
Louis Mareschal,35,1520,,,,,,,,,,,,,,,,,,,1.0,1520.0,,
Hugues Maison,36,1512,,,,,5.0,920.0,,,,,7.0,592.0,,,,,,,,,,
Baptiste Maison,36,1512,,,,,5.0,920.0,,,,,7.0,592.0,,,,,,,,,,
Tim van Caubergh,38,1500,,,2.0,1224.0,21.0,276.0,,,,,,,,,,,,,,,,
Jorge Donayre,39,1472,,,,,3.0,1472.0,,,,,,,,,,,,,,,,
Jacob Franssen,40,1438,21.0,150.0,11.0,408.0,29.0,230.0,15.0,360.0,11.0,438.0,,,7.0,592.0,,,,,16.0,342.0,16.0,369.0
Jasper Toebes,41,1424,11.0,300.0,6.0,680.0,23.0,276.0,,,,,10.0,444.0,,,,,,,,,,
Luca Marrer,42,1404,,,,,,,,,,,,,,,2.0,1404.0,,,,,,
Tjebbe Treub,43,1386,26.0,125.0,12.0,408.0,15.0,414.0,10.0,480.0,,,,,,,14.0,351.0,,,15.0,342.0,12.0,492.0
Gabriele Brazzo,43,1386,,,,,12.0,552.0,,,,,,,,,,,,,13.0,342.0,11.0,492.0
Basile Vitrai,45,1384,,,,,,,,,,,,,,,8.0,624.0,,,5.0,760.0,,
Gauthier Vandamme,46,1368,,,,,,,,,,,,,,,,,,,2.0,1368.0,,
Gilles Hublet,46,1368,,,,,,,,,,,,,,,,,,,2.0,1368.0,,
Niels Kadijk,48,1361,24.0,150.0,11.0,408.0,29.0,230.0,19.0,240.0,7.0,584.0,,,,,14.0,351.0,,,,,16.0,369.0
Frank Buigel,49,1354,12.0,300.0,7.0,544.0,19.0,276.0,14.0,360.0,,,,,16.0,333.0,,,12.0,450.0,,,,
Joeri Vlassaks,50,1332,,,,,,,,,,,2.0,1332.0,,,,,,,,,,
Martijn Paes,50,1332,,,,,,,,,,,2.0,1332.0,,,,,,,,,,
Ludwig Branzk,52,1314,,,,,,,11.0,480.0,,,,,,,,,,,14.0,342.0,9.0,492.0
Tuur Demaegdt,53,1288,,,,,4.0,1288.0,,,,,,,,,,,,,,,,
Jannes De Meyer,53,1288,,,,,4.0,1288.0,,,,,,,,,,,,,,,,
Cedric Omtzigt,55,1266,24.0,150.0,,,25.0,230.0,15.0,360.0,12.0,438.0,,,,,12.0,468.0,,,,,,
Linde Van Wambeke,55,1266,,,,,,,,,,,24.0,222.0,9.0,444.0,,,7.0,600.0,,,,
Lars Bouma,57,1248,,,17.0,204.0,,,,,,,,,9.0,444.0,,,8.0,600.0,,,,
Sam Beard,58,1245,,,,,,,,,,,,,12.0,444.0,13.0,351.0,11.0,450.0,,,,
Luc Young,59,1230,,,18.0,204.0,,,19.0,240.0,12.0,438.0,,,,,,,9.0,450.0,16.0,342.0,,
Olivier Hui Bon Hoa,60,1216,,,,,,,,,,,,,,,,,,,3.0,1216.0,,
Jessica Borgers,61,1174,28.0,125.0,19.0,204.0,28.0,230.0,,,,,6.0,740.0,,,,,,,,,,
Ilonka Thielen,62,1089,29.0,125.0,15.0,306.0,20.0,276.0,,,,,,,13.0,333.0,,,10.0,450.0,,,,
Jonas Adriaenssens,63,1036,,,,,,,,,,,4.0,1036.0,,,,,,,,,,
Thomas Turner,63,1036,,,,,,,,,,,4.0,1036.0,,,,,,,,,,
Yorik Maatman,65,1026,,,13.0,306.0,17.0,276.0,17.0,240.0,,,,,10.0,444.0,,,,,,,,
Agnes Berveling,66,1022,,,,,36.0,184.0,,,,,16.0,333.0,,,16.0,351.0,16.0,338.0,,,,
Lukas Donovan,67,1000,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
Birk Warnecke,67,1000,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
Maarten Van Beek,69,973,,,,,,,8.0,640.0,,,15.0,333.0,,,,,,,,,,
Johannes Lang,70,952,,,4.0,952.0,,,,,,,,,,,,,,,,,,
Cameron Ohlson,71,925,,,,,,,,,,,13.0,333.0,8.0,592.0,,,,,,,,
Lauri Schippers,72,919,,,19.0,204.0,30.0,230.0,,,,,20.0,222.0,,,16.0,351.0,13.0,338.0,,,,
Bart Haddink,73,852,,,10.0,408.0,,,,,,,,,11.0,444.0,,,,,,,,
Stijn Bakker,74,846,23.0,150.0,,,,,18.0,240.0,,,,,,,,,,,9.0,456.0,,
Jonas Klimt,75,834,,,,,,,,,,,,,,,,,,,14.0,342.0,9.0,492.0
David Teel,76,825,,,,,,,,,,,,,,,,,,,10.0,456.0,15.0,369.0
Sander Breman,76,825,,,,,,,,,,,,,,,,,,,10.0,456.0,15.0,369.0
Lavinia Damaschin,78,822,,,,,,,,,,,,,19.0,222.0,,,8.0,600.0,,,,
Dirk van der Riet,79,820,,,,,,,,,,,,,,,,,,,,,5.0,820.0
Roos van der Donk,80,806,,,,,,,,,,,,,,,11.0,468.0,14.0,338.0,,,,
Louis Blum,81,800,3.0,800.0,,,,,,,,,,,,,,,,,,,,
jasper toebes,81,800,,,,,,,6.0,800.0,,,,,,,,,,,,,,
David Geld,81,800,3.0,800.0,,,,,,,,,,,,,,,,,,,,
Ulysse Couturier,84,760,,,,,,,,,,,,,,,,,,,5.0,760.0,,
Konradin Müskens,85,757,,,,,37.0,184.0,,,,,18.0,222.0,,,15.0,351.0,,,,,,
Ben ten Berge,86,756,,,,,24.0,276.0,9.0,480.0,,,,,,,,,,,,,,
Yannick Onstenk,86,756,,,14.0,306.0,,,,,,,,,,,,,10.0,450.0,,,,
Dante Vanderveken,88,740,,,,,,,,,,,5.0,740.0,,,,,,,,,,
