name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Louis Mareschal,35,1520.0000000000005,,,,,,,,,,,,,,,,,,,1.0,1520.0000000000005,,
Baptiste Maison,36,1512.0000000000005,,,,,5.0,920.0000000000003,,,,,7.0,592.0000000000002,,,,,,,,,,
Hugues Maison,36,1512.0000000000005,,,,,5.0,920.0000000000003,,,,,7.0,592.0000000000002,,,,,,,,,,
Tim van Caubergh,38,1500.0000000000005,,,2.0,1224.0000000000002,21.0,276.0000000000001,,,,,,,,,,,,,,,,
Jorge Donayre,39,1472.0000000000007,,,,,3.0,1472.0000000000007,,,,,,,,,,,,,,,,
Jacob Franssen,40,1438.0000000000005,21.0,150.0,11.0,408.0000000000001,29.0,230.00000000000009,15.0,360.0000000000001,11.0,438.0000000000001,,,7.0,592.0000000000002,,,,,16.0,342.0000000000001,16.0,369.0000000000001
Jasper Toebes,41,1424.0000000000002,11.0,300.0,6.0,680.0000000000001,23.0,276.0000000000001,,,,,10.0,444.0000000000001,,,,,,,,,,
Luca Marrer,42,1404.0000000000005,,,,,,,,,,,,,,,2.0,1404.0000000000005,,,,,,
Gabriele Brazzo,43,1386.0000000000005,,,,,12.0,552.0000000000002,,,,,,,,,,,,,13.0,342.0000000000001,11.0,492.00000000000017
Tjebbe Treub,43,1386.0000000000005,26.0,125.0,12.0,408.0000000000001,15.0,414.00000000000017,10.0,480.00000000000017,,,,,,,14.0,351.0000000000001,,,15.0,342.0000000000001,12.0,492.00000000000017
Basile Vitrai,45,1384.0000000000005,,,,,,,,,,,,,,,8.0,624.0000000000002,,,5.0,760.0000000000002,,
Gauthier Vandamme,46,1368.0000000000005,,,,,,,,,,,,,,,,,,,2.0,1368.0000000000005,,
Gilles Hublet,46,1368.0000000000005,,,,,,,,,,,,,,,,,,,2.0,1368.0000000000005,,
Niels Kadijk,48,1361.0000000000005,24.0,150.0,11.0,408.0000000000001,29.0,230.00000000000009,19.0,240.00000000000009,7.0,584.0000000000001,,,,,14.0,351.0000000000001,,,,,16.0,369.0000000000001
Frank Buigel,49,1354.0000000000005,12.0,300.0,7.0,544.0000000000001,19.0,276.0000000000001,14.0,360.0000000000001,,,,,16.0,333.0000000000001,,,12.0,450.0000000000001,,,,
Joeri Vlassaks,50,1332.0000000000005,,,,,,,,,,,2.0,1332.0000000000005,,,,,,,,,,
Martijn Paes,50,1332.0000000000005,,,,,,,,,,,2.0,1332.0000000000005,,,,,,,,,,
Ludwig Branzk,52,1314.0000000000005,,,,,,,11.0,480.00000000000017,,,,,,,,,,,14.0,342.0000000000001,9.0,492.00000000000017
Tuur Demaegdt,53,1288.0000000000005,,,,,4.0,1288.0000000000005,,,,,,,,,,,,,,,,
Jannes De Meyer,53,1288.0000000000005,,,,,4.0,1288.0000000000005,,,,,,,,,,,,,,,,
Cedric Omtzigt,55,1266.0000000000005,24.0,150.0,,,25.0,230.00000000000009,15.0,360.0000000000001,12.0,438.0000000000001,,,,,12.0,468.00000000000017,,,,,,
Linde Van Wambeke,55,1266.0000000000005,,,,,,,,,,,24.0,222.00000000000006,9.0,444.0000000000001,,,7.0,600.0000000000002,,,,
Lars Bouma,57,1248.0000000000005,,,17.0,204.00000000000006,,,,,,,,,9.0,444.0000000000001,,,8.0,600.0000000000002,,,,
Sam Beard,58,1245.0000000000005,,,,,,,,,,,,,12.0,444.0000000000001,13.0,351.0000000000001,11.0,450.0000000000001,,,,
Luc Young,59,1230.0000000000005,,,18.0,204.00000000000006,,,19.0,240.00000000000009,12.0,438.0000000000001,,,,,,,9.0,450.0000000000001,16.0,342.0000000000001,,
Olivier Hui Bon Hoa,60,1216.0000000000005,,,,,,,,,,,,,,,,,,,3.0,1216.0000000000005,,
Jessica Borgers,61,1174.0000000000005,28.0,125.0,19.0,204.00000000000006,28.0,230.00000000000009,,,,,6.0,740.0000000000002,,,,,,,,,,
Ilonka Thielen,62,1089.0000000000002,29.0,125.0,15.0,306.00000000000006,20.0,276.0000000000001,,,,,,,13.0,333.0000000000001,,,10.0,450.0000000000001,,,,
Thomas Turner,63,1036.0000000000002,,,,,,,,,,,4.0,1036.0000000000002,,,,,,,,,,
Jonas Adriaenssens,63,1036.0000000000002,,,,,,,,,,,4.0,1036.0000000000002,,,,,,,,,,
Yorik Maatman,65,1026.0000000000005,,,13.0,306.00000000000006,17.0,276.0000000000001,17.0,240.00000000000009,,,,,10.0,444.0000000000001,,,,,,,,
Agnes Berveling,66,1021.5000000000003,,,,,36.0,184.00000000000009,,,,,16.0,333.0000000000001,,,16.0,351.0000000000001,16.0,337.5000000000001,,,,
Lukas Donovan,67,1000.0,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
Birk Warnecke,67,1000.0,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
Maarten Van Beek,69,973.0000000000003,,,,,,,8.0,640.0000000000002,,,15.0,333.0000000000001,,,,,,,,,,
Johannes Lang,70,952.0000000000002,,,4.0,952.0000000000002,,,,,,,,,,,,,,,,,,
Cameron Ohlson,71,925.0000000000003,,,,,,,,,,,13.0,333.0000000000001,8.0,592.0000000000002,,,,,,,,
Lauri Schippers,72,918.5000000000003,,,19.0,204.00000000000006,30.0,230.00000000000009,,,,,20.0,222.00000000000006,,,16.0,351.0000000000001,13.0,337.5000000000001,,,,
Bart Haddink,73,852.0000000000002,,,10.0,408.0000000000001,,,,,,,,,11.0,444.0000000000001,,,,,,,,
Stijn Bakker,74,846.0000000000002,23.0,150.0,,,,,18.0,240.00000000000009,,,,,,,,,,,9.0,456.0000000000001,,
Jonas Klimt,75,834.0000000000002,,,,,,,,,,,,,,,,,,,14.0,342.0000000000001,9.0,492.00000000000017
David Teel,76,825.0000000000002,,,,,,,,,,,,,,,,,,,10.0,456.0000000000001,15.0,369.0000000000001
Sander Breman,76,825.0000000000002,,,,,,,,,,,,,,,,,,,10.0,456.0000000000001,15.0,369.0000000000001
Lavinia Damaschin,78,822.0000000000002,,,,,,,,,,,,,19.0,222.00000000000006,,,8.0,600.0000000000002,,,,
Dirk van der Riet,79,820.0000000000002,,,,,,,,,,,,,,,,,,,,,5.0,820.0000000000002
Roos van der Donk,80,805.5000000000002,,,,,,,,,,,,,,,11.0,468.00000000000017,14.0,337.5000000000001,,,,
jasper toebes,81,800.0000000000002,,,,,,,6.0,800.0000000000002,,,,,,,,,,,,,,
Louis Blum,82,800.0,3.0,800.0,,,,,,,,,,,,,,,,,,,,
David Geld,82,800.0,3.0,800.0,,,,,,,,,,,,,,,,,,,,
Ulysse Couturier,84,760.0000000000002,,,,,,,,,,,,,,,,,,,5.0,760.0000000000002,,
Konradin Müskens,85,757.0000000000003,,,,,37.0,184.00000000000009,,,,,18.0,222.00000000000006,,,15.0,351.0000000000001,,,,,,
Ben ten Berge,86,756.0000000000002,,,,,24.0,276.0000000000001,9.0,480.00000000000017,,,,,,,,,,,,,,
Yannick Onstenk,86,756.0000000000002,,,14.0,306.00000000000006,,,,,,,,,,,,,10.0,450.0000000000001,,,,
Dante Vanderveken,88,740.0000000000002,,,,,,,,,,,5.0,740.0000000000002,,,,,,,,,,
Adriaan Van Gerven,88,740.0000000000002,,,,,,,,,,,5.0,740.0000000000002,,,,,,,,,,
Tabriz Popatia,90,736.0000000000003,,,,,8.0,736.0000000000003,,,,,,,,,,,,,,,,
Paul Volle,90,736.0000000000003,,,,,8.0,736.0000000000003,,,,,,,,,,,,,,,,
Pieter van der Plas,92,726.0000000000002,,,,,,,9.0,480.00000000000017,,,,,,,,,,,,,18.0,246.00000000000009
Mady Smit,93,723.0000000000002,23.0,150.0,,,,,18.0,240.00000000000009,,,,,13.0,333.0000000000001,,,,,,,,
Roos Van der Donk,94,709.0000000000001,29.0,125.0,,,,,,,8.0,584.0000000000001,,,,,,,,,,,,
Omar el Tambouli,95,684.0000000000002,,,,,,,,,,,16.0,333.0000000000001,,,13.0,351.0000000000001,,,,,,
Oscar Stolk,96,666.0000000000002,,,,,,,,,,,14.0,333.0000000000001,14.0,333.0000000000001,,,,,,,,
Annabel Beiner,97,651.0000000000002,,,20.0,204.00000000000006,40.0,184.00000000000009,,,,,24.0,222.00000000000006,,,,,19.0,225.00000000000006,,,,
Daniel Horn,98,636.0000000000002,,,,,18.0,276.0000000000001,13.0,360.0000000000001,,,,,,,,,,,,,,
Jannah Sonnenschein,99,613.0000000000002,28.0,125.0,20.0,204.00000000000006,40.0,184.00000000000009,,,,,,,,,,,19.0,225.00000000000006,,,,
Noah Mensch,100,608.0000000000002,,,,,,,,,,,,,,,,,,,8.0,608.0000000000002,,
Florian Engelsing,100,608.0000000000002,,,,,,,,,,,,,,,,,,,8.0,608.0000000000002,,
Hauke Moeschke,102,600.0000000000002,,,,,,,,,,,,,,,,,7.0,600.0000000000002,,,,
Britt Vankemenade,103,592.0000000000002,,,,,,,,,,,8.0,592.0000000000002,,,,,,,,,,
Marie-Alexia Teisseyre,103,592.0000000000002,,,,,,,,,,,8.0,592.0000000000002,,,,,,,,,,
Niels van Weerdenburg,105,555.0000000000002,,,,,,,,,,,22.0,222.00000000000006,15.0,333.0000000000001,,,,,,,,
Quinten van Duin,105,555.0000000000002,,,,,,,,,,,19.0,222.00000000000006,15.0,333.0000000000001,,,,,,,,
Tom Caniels,107,535.0000000000002,,,,,37.0,184.00000000000009,,,,,,,,,15.0,351.0000000000001,,,,,,
Kolja Jannes,108,500.0,5.0,500.0,,,,,,,,,,,,,,,,,,,,
Lennart Wiepking,108,500.0,5.0,500.0,,,,,,,,,,,,,,,,,,,,
Martin Sievert,110,480.00000000000017,,,,,,,11.0,480.00000000000017,,,,,,,,,,,,,,
Jasper toebes,111,468.00000000000017,,,,,,,,,,,,,,,11.0,468.00000000000017,,,,,,
Shannon Dieltjes,112,462.5000000000001,27.0,125.0,,,,,,,,,,,,,,,14.0,337.5000000000001,,,,
Irian Baert,113,456.0000000000001,,,,,,,,,,,,,,,,,,,12.0,456.0000000000001,,
Toan Pauwels,113,456.0000000000001,,,,,,,,,,,,,,,,,,,12.0,456.0000000000001,,
Tessel van Manen,115,450.0000000000001,,,,,,,,,,,20.0,222.00000000000006,,,,,,,18.0,228.00000000000006,,
Carel van Goch,115,450.0000000000001,,,,,,,,,,,,,,,,,11.0,450.0000000000001,,,,
Bart Derks,115,450.0000000000001,,,,,,,,,,,,,,,,,9.0,450.0000000000001,,,,
Matthijs G,118,447.0000000000001,,,,,,,,,,,,,18.0,222.00000000000006,,,17.0,225.00000000000006,,,,
Adéla Janků,119,444.0000000000001,,,,,,,,,,,,,12.0,444.0000000000001,,,,,,,,
Anna We,120,438.0000000000001,,,,,,,,,9.0,438.0000000000001,,,,,,,,,,,,
Lorenzo Palm,120,438.0000000000001,,,,,,,,,10.0,438.0000000000001,,,,,,,,,,,,
Dennis Erlenbusch,120,438.0000000000001,,,,,,,,,9.0,438.0000000000001,,,,,,,,,,,,
Ben Frischen,120,438.0000000000001,,,,,,,,,10.0,438.0000000000001,,,,,,,,,,,,
Gadiel Rachelson,124,414.00000000000017,,,,,14.0,414.00000000000017,,,,,,,,,,,,,,,,
Jim Buhler,124,414.00000000000017,,,,,14.0,414.00000000000017,,,,,,,,,,,,,,,,
Tomas Juch,124,414.00000000000017,,,,,13.0,414.00000000000017,,,,,,,,,,,,,,,,
Ruben Soerel,124,414.00000000000017,,,,,13.0,414.00000000000017,,,,,,,,,,,,,,,,
David Moulin,128,408.0000000000001,,,12.0,408.0000000000001,,,,,,,,,,,,,,,,,,
Mika Mundo,129,400.0,7.0,400.0,,,,,,,,,,,,,,,,,,,,
Thomas Roine,129,400.0,7.0,400.0,,,,,,,,,,,,,,,,,,,,
Milan Battistella,131,380.0000000000001,20.0,150.0,,,30.0,230.00000000000009,,,,,,,,,,,,,,,,
Konstantin Dimov,132,376.0000000000001,33.0,100.0,,,23.0,276.0000000000001,,,,,,,,,,,,,,,,
Maarten van Beek,133,369.0000000000001,,,,,,,,,,,,,,,,,,,,,14.0,369.0000000000001
Daan beelen,133,369.0000000000001,,,,,,,,,,,,,,,,,,,,,13.0,369.0000000000001
Bas Cornelissen,133,369.0000000000001,,,,,,,,,,,,,,,,,,,,,13.0,369.0000000000001
Remco Klaasman,136,360.0000000000001,,,,,,,16.0,360.0000000000001,,,,,,,,,,,,,,
Mathias Gerstner,137,342.0000000000001,,,,,,,,,,,,,,,,,,,13.0,342.0000000000001,,
Koen Franken,138,337.5000000000001,,,,,,,,,,,,,,,,,16.0,337.5000000000001,,,,
Lorenz Theobold,138,337.5000000000001,,,,,,,,,,,,,,,,,15.0,337.5000000000001,,,,
Franka Tabitha Etzel,138,337.5000000000001,,,,,,,,,,,,,,,,,15.0,337.5000000000001,,,,
Casper Zomerdijk,141,333.0000000000001,,,,,,,,,,,15.0,333.0000000000001,,,,,,,,,,
Florian Verduijn,141,333.0000000000001,,,,,,,,,,,,,14.0,333.0000000000001,,,,,,,,
Aart Jan Lenstra,141,333.0000000000001,,,,,,,,,,,,,16.0,333.0000000000001,,,,,,,,
Twan Schoonen,141,333.0000000000001,,,,,,,,,,,14.0,333.0000000000001,,,,,,,,,,
Jan Derksen,145,329.00000000000006,30.0,125.0,18.0,204.00000000000006,,,,,,,,,,,,,,,,,,
Joël Van den Berg,146,306.00000000000006,,,13.0,306.00000000000006,,,,,,,,,,,,,,,,,,
Roel Oldenkamp,146,306.00000000000006,,,15.0,306.00000000000006,,,,,,,,,,,,,,,,,,
Leon Visser,146,306.00000000000006,,,14.0,306.00000000000006,,,,,,,,,,,,,,,,,,
Ennio Mos,146,306.00000000000006,,,16.0,306.00000000000006,,,,,,,,,,,,,,,,,,
Daan Buiter,146,306.00000000000006,,,16.0,306.00000000000006,,,,,,,,,,,,,,,,,,
Teelke Limbeck,151,300.0,10.0,300.0,,,,,,,,,,,,,,,,,,,,
Dario Go,151,300.0,9.0,300.0,,,,,,,,,,,,,,,,,,,,
Gerrit Lang,151,300.0,10.0,300.0,,,,,,,,,,,,,,,,,,,,
Luuk Schotsman,154,284.0000000000001,35.0,100.0,,,39.0,184.00000000000009,,,,,,,,,,,,,,,,
Mathijs de Groot,155,276.0000000000001,,,,,24.0,276.0000000000001,,,,,,,,,,,,,,,,
Jesse M,155,276.0000000000001,,,,,21.0,276.0000000000001,,,,,,,,,,,,,,,,
Niels van Oostrum,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,17.0,246.00000000000009
Thomas van Echtelt,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,20.0,246.00000000000009
Liam van Hees,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,19.0,246.00000000000009
Tom Gobee,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,20.0,246.00000000000009
Bas Rudolphy,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,18.0,246.00000000000009
Stef Boot,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,19.0,246.00000000000009
Rowan Westerduin,157,246.00000000000009,,,,,,,,,,,,,,,,,,,,,17.0,246.00000000000009
Miguel Dionisio,164,234.00000000000009,,,,,,,,,,,,,,,17.0,234.00000000000009,,,,,,
Teo Constantinescu,164,234.00000000000009,,,,,,,,,,,,,,,17.0,234.00000000000009,,,,,,
Klaas Weinrich,166,230.00000000000009,,,,,27.0,230.00000000000009,,,,,,,,,,,,,,,,
Luuk vd Klein,166,230.00000000000009,,,,,26.0,230.00000000000009,,,,,,,,,,,,,,,,
Leon Vauterin,166,230.00000000000009,,,,,31.0,230.00000000000009,,,,,,,,,,,,,,,,
Jake King,166,230.00000000000009,,,,,27.0,230.00000000000009,,,,,,,,,,,,,,,,
Alexandre Tauziède,166,230.00000000000009,,,,,32.0,230.00000000000009,,,,,,,,,,,,,,,,
Jakob Biebuyck,166,230.00000000000009,,,,,31.0,230.00000000000009,,,,,,,,,,,,,,,,
Daan van Velsen,166,230.00000000000009,,,,,26.0,230.00000000000009,,,,,,,,,,,,,,,,
Martijn Alberts,166,230.00000000000009,,,,,28.0,230.00000000000009,,,,,,,,,,,,,,,,
Mustafa Durgun,166,230.00000000000009,,,,,32.0,230.00000000000009,,,,,,,,,,,,,,,,
Anicea Saliba,175,228.00000000000006,,,,,,,,,,,,,,,,,,,17.0,228.00000000000006,,
Sanne Schra,176,225.00000000000006,,,,,,,,,,,,,,,,,17.0,225.00000000000006,,,,
Adam Drong,176,225.00000000000006,,,,,,,,,,,,,,,,,18.0,225.00000000000006,,,,
Guillaume Paris,176,225.00000000000006,,,,,,,,,,,,,,,,,18.0,225.00000000000006,,,,
Milan Sent,179,225.0,15.0,225.0,,,,,,,,,,,,,,,,,,,,
Solange Schrijnder van Velzen,179,225.0,16.0,225.0,,,,,,,,,,,,,,,,,,,,
Marian Haydn,181,222.00000000000006,,,,,,,,,,,,,19.0,222.00000000000006,,,,,,,,
steven biemans,181,222.00000000000006,,,,,,,,,,,23.0,222.00000000000006,,,,,,,,,,
Singrid Feitosa Alexandrino,181,222.00000000000006,,,,,,,,,,,19.0,222.00000000000006,,,,,,,,,,
Antoine Sapena,181,222.00000000000006,,,,,,,,,,,21.0,222.00000000000006,,,,,,,,,,
Lorenz Theobald,181,222.00000000000006,,,,,,,,,,,,,17.0,222.00000000000006,,,,,,,,
Pieter-Jan Zwaan,181,222.00000000000006,,,,,,,,,,,17.0,222.00000000000006,,,,,,,,,,
Remy Rousselle,181,222.00000000000006,,,,,,,,,,,21.0,222.00000000000006,,,,,,,,,,
Bauke van der Kooij,181,222.00000000000006,,,,,,,,,,,,,18.0,222.00000000000006,,,,,,,,
Carel Van Goch,181,222.00000000000006,,,,,,,,,,,23.0,222.00000000000006,,,,,,,,,,
Gijs van Gerwen,181,222.00000000000006,,,,,,,,,,,18.0,222.00000000000006,,,,,,,,,,
Lieze Dockx,181,222.00000000000006,,,,,,,,,,,17.0,222.00000000000006,,,,,,,,,,
Franka Etzel,181,222.00000000000006,,,,,,,,,,,,,17.0,222.00000000000006,,,,,,,,
Rianne Voerman,181,222.00000000000006,,,,,,,,,,,22.0,222.00000000000006,,,,,,,,,,
Sanne Hogesteeger,194,204.00000000000006,,,21.0,204.00000000000006,,,,,,,,,,,,,,,,,,
thomas haan,194,204.00000000000006,,,17.0,204.00000000000006,,,,,,,,,,,,,,,,,,
Cristina Bogdan,194,204.00000000000006,,,21.0,204.00000000000006,,,,,,,,,,,,,,,,,,
Matthew Elworthy,197,185.00000000000006,,,,,,,,,,,26.0,185.00000000000006,,,,,,,,,,
Leonoor Schiphorst,197,185.00000000000006,,,,,,,,,,,27.0,185.00000000000006,,,,,,,,,,
Vishesh Sawhney,197,185.00000000000006,,,,,,,,,,,25.0,185.00000000000006,,,,,,,,,,
J van Wijhe,197,185.00000000000006,,,,,,,,,,,26.0,185.00000000000006,,,,,,,,,,
Emiel Prikkel,197,185.00000000000006,,,,,,,,,,,28.0,185.00000000000006,,,,,,,,,,
Iris Bunnig,197,185.00000000000006,,,,,,,,,,,27.0,185.00000000000006,,,,,,,,,,
Nicole IJff,197,185.00000000000006,,,,,,,,,,,25.0,185.00000000000006,,,,,,,,,,
Nadja van Kessel,197,185.00000000000006,,,,,,,,,,,28.0,185.00000000000006,,,,,,,,,,
sylvester productions,205,184.00000000000009,,,,,39.0,184.00000000000009,,,,,,,,,,,,,,,,
Thomas Dajer,205,184.00000000000009,,,,,34.0,184.00000000000009,,,,,,,,,,,,,,,,
Lise Pieper,205,184.00000000000009,,,,,36.0,184.00000000000009,,,,,,,,,,,,,,,,
Justus Urbanetz,205,184.00000000000009,,,,,38.0,184.00000000000009,,,,,,,,,,,,,,,,
Paul Schmidt,205,184.00000000000009,,,,,33.0,184.00000000000009,,,,,,,,,,,,,,,,
